item_id,impressions,views,price,stato,old_title,new_title,new_len,note
407012450105,5927,11,111.00,RISCRITTO,Gwynn SAR 117/081 M5 Abyss Eye Japanese Pokemon Card 2026 NM,Gwynn SAR 117/081 M5 Abyss Eye Japanese Pokemon Card 2026 NM Special Art Rare,77,"NM conservato (Near Mint, termine di ricerca dei collezionisti). Aggiunto 'Special Art Rare' = cosa significa SAR, molto cercato. Il rewriter automatico aveva sostituito NM con 'Paper'."
407113382785,3461,13,29.97,RISCRITTO,"Dog Life Jacket, Ripstop American Flag Dog Life Vest for Swimming Boating, Shark",Dog Life Jacket Ripstop American Flag Shark Swim Vest Boating XS 14.5 in Chest,78,Tolto il doppione 'Dog Life Vest'; recuperata la taglia XS e il torace 14.5 in dagli specifics (filtri di ricerca).
407113382524,1543,0,34.97,RISCRITTO,Acemining 5 Racks 4 Hooks Mop Broom Holder Wall Mount O,Mop and Broom Holder Wall Mount 5 Racks 4 Hooks Stainless Steel Garage Organizer,80,"'O' era 'Organizer'. Tolto 'Acemining' (marchio non cercato, sprecava 10 char). Materiale dagli specifics."
407113382755,1077,8,82.97,RISCRITTO,In Line Automatic Pool Chlorine Feeder 9 lb Capacity Chlorinator Inground,Inline Automatic Pool Chlorine Feeder 9 lb Chlorinator Inground Tablet Dispenser,80,"Aggiunto 'Tablet' (Item Form) e 'Dispenser', termine alternativo con cui si cerca il prodotto."
407113381581,956,10,47.97,SERVE_FONTE,"Microwave Heating Pad, Microwavable Heated Neck Pillow for Mo",,,Titolo tagliato su 'for Mo' e ZERO item specifics: non posso sapere cosa diceva senza inventarlo. Serve la pagina sorgente Amazon.
407113382807,823,0,24.97,DA_CHIUDERE,20V MAX XR Oscillating Multi-Tool Kit Brushless Cordless DCS356C1 - New,,,"ANNUNCIO INCOERENTE: titolo = DeWalt DCS356C1 (retail ~$150-200) a $24.97, ma Size = '50 Skimmer Socks'. Due prodotti diversi. Rischio VeRO sul marchio DeWalt. Non riscrivere: chiudere o rifare."
407044304428,729,0,31.98,RISCRITTO,Dog Life Jacket Dog Life Vest for Swimming Boating Cute Bee Design with Rescue H,Dog Life Jacket Swim Vest Bee Design Rescue Handle Boating Puppy Medium Float,77,'Rescue H' era 'Rescue Handle'. Tolto il doppione; recuperata taglia Medium dagli specifics.
407113381977,662,0,113.97,RISCRITTO,Pyramid Prime Double Roller 2 Ball Bowling Bag with Large Separate Com,Pyramid Prime Double Roller 2 Ball Bowling Bag Large Separate Compartment Nylon,79,'Com' era 'Compartment'. Aggiunto Nylon dagli specifics.
407113382071,592,2,45.97,RISCRITTO,"Travel Toiletry Bag, Hanging Toiletry Bag for Men, Leather Tra",Travel Toiletry Bag Hanging Toiletry Bag for Men Leather Travel Organizer,73,'Tra' era 'Travel'. Nessun specific disponibile: non ho aggiunto attributi che non posso provare.
407113382786,487,0,48.97,RISCRITTO,Beginner Crochet Kit Snail Amigurumi DIY Starter Set with Yarn Hooks Animal,Beginner Crochet Kit Snail Amigurumi DIY Starter Set Yarn Hooks Animal Kids Gift,80,"Titolo gia sano. Recuperati 6 char togliendo 'with', aggiunti 'Kids Gift' (kit per principianti, tema Animal)."
407113381506,478,3,52.97,RISCRITTO,"Nordic Ware Halloween Bakeware, Haunted Skull Cakelet Pan, Bronze",Nordic Ware Halloween Haunted Skull Cakelet Pan Bronze Aluminum 6 Cavity Baking,79,Marchio Nordic Ware CONSERVATO: qui e' cercato ed e' il venditore stesso a dichiararlo. Materiale dagli specifics.
407113381886,460,1,55.97,RISCRITTO,"Gigreinc Dog Bed for Small Dogs - Cute Pink Leopard Dog Bed,Cat Beds f",Dog Bed for Small Dogs Cat Bed Pink Leopard Square Washable Puppy Kitten Cushion,80,'Cat Beds f' era 'Cat Beds for...'. Tolto 'Gigreinc' (marchio non cercato). Forma Square dagli specifics.
