item_id,sell,profit,margin_pct,in_stock,oos,on_hold,sold,error_flags,ACTION,reason,ebay_url,title
406494715836,79.0,17.01,21.5,1,0,0,0,title-changed,CLOSE,0 sold (dead weight) | flags: title-changed,https://www.ebay.com/itm/RC-Excavator-Toy-Rechargeable-Tracked-Digger-Metal-Shovel-Light-Sound-Kids-/406494715836,RC Excavator Toy Rechargeable Tracked Digger Metal Shovel Light Sound Kids
406494714540,243.97,73.89,30.3,0,1,0,0,,CLOSE,"no available stock (OOS 1 / on-hold 0), 0 sold — oversell risk",https://www.ebay.com/itm/Mini-Flat-Iron-0-7in-Ceramic-Hair-Straightener-Short-Hair-Bangs-Travel-/406494714540,Mini Flat Iron 0.7in Ceramic Hair Straightener for Short Hair Bangs Travel
406494713723,77.97,15.94,20.4,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/Pressurized-Handheld-Steam-Cleaner-Multi-Surface-Steamer-12pc-Kit-Grey-/406494713723,Pressurized Handheld Steam Cleaner Multi Surface Steamer 12pc Kit Grey
406494713230,33.08,7.78,23.5,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/Rechargeable-Hand-Warmers-2-Pack-6000mAh-Electric-Portable-Outdoor-Winter-/406494713230,Rechargeable Hand Warmers 2 Pack 6000mAh Electric Portable Outdoor Winter
406494713215,45.39,10.24,22.6,1,0,0,0,"VeRO,title-changed",CLOSE,"0 sold (dead weight) | flags: VeRO,title-changed",https://www.ebay.com/itm/Portable-Clothes-Steamer-Handheld-240ml-700W-Home-Office-120V-Only-/406494713215,Portable Clothes Steamer Handheld 240ml 700W for Home Office 120V Only
406494711914,53.86,11.44,21.2,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/Microwave-Splatter-Cover-Glass-Vented-Lid-Collapsible-Silicone-10-8in-/406494711914,Microwave Splatter Cover Glass Vented Lid Collapsible Silicone 10.8in
406494711143,45.71,10.5,23.0,1,0,0,0,"VeRO,title-changed",CLOSE,"0 sold (dead weight) | flags: VeRO,title-changed",https://www.ebay.com/itm/Flying-Orb-Ball-Toy-Boomerang-Hover-Spinner-Hand-Drone-Globe-Blue-/406494711143,Flying Orb Ball Toy Boomerang Hover Spinner Hand Drone Globe Blue
406494709381,53.84,15.42,28.6,1,0,0,0,title-changed,CLOSE,0 sold (dead weight) | flags: title-changed,https://www.ebay.com/itm/Wall-Climbing-RC-Gecko-Lizard-Toy-Rechargeable-Remote-Control-Crawler-Grey-/406494709381,Wall Climbing RC Gecko Lizard Toy Rechargeable Remote Control Crawler Grey
406494705925,99.97,24.63,24.6,1,0,0,0,duplicate,CLOSE,0 sold (dead weight) | flags: duplicate,https://www.ebay.com/itm/RC-Robot-Dinosaur-Remote-Control-Interactive-Walking-Dancing-Singing-Fight-Mode-/406494705925,RC Robot Dinosaur Remote Control Interactive Walking Dancing Singing Fight Mode
406494684229,213.06,47.62,22.4,0,1,0,0,,CLOSE,"no available stock (OOS 1 / on-hold 0), 0 sold — oversell risk",https://www.ebay.com/itm/Pet-Grooming-Vacuum-Kit-Shedding-Dogs-Cats-Hair-Trimmer-Vacuum-1-5L-Low-Noise-/406494684229,Pet Grooming Vacuum Kit Shedding Dogs Cats Hair Trimmer Vacuum 1.5L Low Noise
406494676018,28.4,8.8,31.0,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/Winter-Waterproof-Warm-Gloves-Touchscreen-Ski-Snow-Windproof-Thermal-/406494676018,Winter Waterproof Warm Gloves Touchscreen Ski Snow Windproof Thermal
406494646578,156.8,32.94,21.0,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/Magic-1-Vacuum-Garment-Steamer-Handheld-Travel-Clothes-Steamer-110-120V-/406494646578,Magic 1 Vacuum Garment Steamer Handheld Travel Clothes Steamer 110 120V
406494642837,16.08,7.37,45.8,1,0,0,0,title-changed,CLOSE,0 sold (dead weight) | flags: title-changed,https://www.ebay.com/itm/Funny-Christmas-Ornament-Age-6-7-2025-Acrylic-Holiday-Tree-Decor-Gift-/406494642837,Funny Christmas Ornament Age 6 7 2025 Acrylic Holiday Tree Decor Gift
406494642701,15.69,7.0,44.6,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/a-/406494642701,a
406494642355,324.11,75.16,23.2,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/HV322-Rocket-Pet-Plus-Corded-Stick-Vacuum-LED-Headlights-XL-Dust-Cup-/406494642355,HV322 Rocket Pet Plus Corded Stick Vacuum LED Headlights XL Dust Cup
406494641398,43.67,23.82,54.5,1,0,0,0,"VeRO,title-changed",CLOSE,"0 sold (dead weight) | flags: VeRO,title-changed",https://www.ebay.com/itm/Under-Eye-Brightener-Cooling-Metal-Roller-Caffeine-Ceramide-Eye-Cream-15ml-/406494641398,Under Eye Brightener Cooling Metal Roller Caffeine Ceramide Eye Cream 15ml
406494637061,50.83,13.36,26.3,0,0,1,0,,CLOSE,"no available stock (OOS 0 / on-hold 1), 0 sold — oversell risk",https://www.ebay.com/itm/Mini-Heat-Press-Portable-Shoe-Baby-Clothes-T-Shirt-Iron-Single-Setting-Blue-/406494637061,Mini Heat Press Portable Shoe Baby Clothes T-Shirt Iron Single Setting Blue
406494632927,32.97,7.68,23.3,1,0,0,0,"VeRO,title-changed",CLOSE,"0 sold (dead weight) | flags: VeRO,title-changed",https://www.ebay.com/itm/60-Color-Dual-Tip-Art-Markers-Set-Chisel-Fine-Tips-Case-Holders-Drawing-/406494632927,60 Color Dual Tip Art Markers Set Chisel Fine Tips with Case Holders for Drawing
406494629458,38.44,13.33,34.7,1,0,0,1,VeRO,KEEP+REPRICE,proven seller (1 sold) — optimize price/title + fix VeRO,https://www.ebay.com/itm/Beginner-Crochet-Kit-Make-Snail-Dora-Amigurumi-Plush-DIY-Starter-Set-Video-Guide-/406494629458,Beginner Crochet Kit Make Snail Dora Amigurumi Plush DIY Starter Set Video Guide
406494624379,44.59,9.11,20.4,1,0,0,0,"VeRO,title-changed",CLOSE,"0 sold (dead weight) | flags: VeRO,title-changed",https://www.ebay.com/itm/67-Meme-Funny-Christmas-Ornament-2025-Gingerbread-Tree-Decor-Stocking-Gift-/406494624379,67 Meme Funny Christmas Ornament 2025 Gingerbread Tree Decor Stocking Gift
406494619549,27.28,7.85,28.8,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/Candle-Warmer-Lamp-Timer-Dimmer-Wax-Melt-Warmer-Home-Office-Decor-Gift-/406494619549,Candle Warmer Lamp Timer Dimmer Wax Melt Warmer for Home Office Decor Gift
406494611670,119.71,21.41,17.9,1,0,0,0,"VeRO,title-changed",CLOSE,"low margin 18%, 0 sold | flags: VeRO,title-changed",https://www.ebay.com/itm/Ultra-Compact-Single-Serve-Coffee-Maker-4in-Wide-Travel-Mug-Friendly-Black-/406494611670,Ultra Compact Single Serve Coffee Maker 4in Wide Travel Mug Friendly Black
406484975933,27.0,12.33,45.7,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/Compact-Nail-Clippers-Foldable-Nail-Cutter-Keychain-Portable-Manicure-Tool-/406484975933,Compact Nail Clippers Foldable Nail Cutter Keychain Portable Manicure Tool
406484975544,23.62,7.89,33.4,2,0,0,0,VeRO,CLOSE,0 sold (dead weight) | flags: VeRO,https://www.ebay.com/itm/Portable-Laptop-Stand-Cooling-Pad-Mini-Magnetic-Tablet-Holder-Notebook-Bracket-/406484975544,Portable Laptop Stand Cooling Pad Mini Magnetic Tablet Holder Notebook Bracket
406484974891,32.75,6.0,18.3,2,0,0,0,,CLOSE,"low margin 18%, 0 sold",https://www.ebay.com/itm/Portable-Aluminum-Laptop-Stand-Foldable-3-1-Tablet-Notebook-Holder-/406484974891,Portable Aluminum Laptop Stand Foldable 3 in 1 Tablet Notebook Holder
406484974211,37.97,7.93,20.9,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/50-Pack-Sisal-Soap-Saver-Bags-Exfoliating-Mesh-Pouches-Drawstring-Bar-Soap-/406484974211,50 Pack Sisal Soap Saver Bags Exfoliating Mesh Pouches Drawstring for Bar Soap
406484945074,19.7,8.4,42.6,1,0,0,0,,CLOSE,0 sold (dead weight),https://www.ebay.com/itm/Brown-Crinkle-Cut-Paper-Shred-Filler-4-5oz-Packing-Cushion-Gift-Boxes-/406484945074,Brown Crinkle Cut Paper Shred Filler 4.5oz Packing Cushion Gift Boxes
